sistema,método,h,T solicitado,T efectivo,max absoluto,max relativo,error final,evaluaciones fuerza
Oscilador,RK4,0.2,10,10,2.211063199497598e-05,4.422126398995196e-05,-2.211063199497598e-05,200
Oscilador,RK4,0.2,100,100,0.0002210623259315536,0.0004421246518631072,-0.0002210623259315536,2000
Oscilador,RK4,0.2,1000,1000,0.002206230271063037,0.004412460542126073,-0.002206230271063037,20000
Oscilador,RK4,0.2,10000,10000,0.02162934702266567,0.04325869404533134,-0.02162934702266567,200000
Oscilador,RK4,0.1,10,10,6.935759128690044e-07,1.387151825738009e-06,-6.935759128690044e-07,400
Oscilador,RK4,0.1,100,100,6.935715833211731e-06,1.387143166642346e-05,-6.935715833211731e-06,4000
Oscilador,RK4,0.1,1000,1000,6.935282911074703e-05,0.0001387056582214941,-6.935282911074703e-05,40000
Oscilador,RK4,0.1,10000,10000,0.0006930955678265405,0.001386191135653081,-0.0006930955678265405,400000
Oscilador,RK4,0.05,10,10,2.16946075548563e-08,4.338921510971261e-08,-2.16946075548563e-08,800
Oscilador,RK4,0.05,100,100,2.169460251444377e-07,4.338920502888755e-07,-2.169460251444377e-07,8000
Oscilador,RK4,0.05,1000,1000,2.169456013945137e-06,4.338912027890274e-06,-2.169456013945137e-06,80000
Oscilador,RK4,0.05,10000,10000,2.169413654556918e-05,4.338827309113835e-05,-2.169413654556918e-05,800000
Péndulo,BM4,0.4,10,10,6.333729757335149e-07,6.815864972429745e-07,-5.192110661411675e-07,150
Péndulo,BM4,0.4,100,100,6.334007270902831e-07,6.816163610843098e-07,-5.160087767075439e-07,1500
Péndulo,BM4,0.4,1000,1000,6.334007270902831e-07,6.816163610843098e-07,-2.760864370454641e-08,15000
Péndulo,BM4,0.4,10000,10000,6.334007882635717e-07,6.816164269142222e-07,-4.839828580127659e-07,150000
Péndulo,BM4,0.2,10,10,3.450388996739662e-08,3.7130389841624e-08,-2.866757564667921e-08,300
Péndulo,BM4,0.2,100,100,3.453261232522209e-08,3.716129859841166e-08,-3.057619912816278e-08,3000
Péndulo,BM4,0.2,1000,1000,3.454183583606607e-08,3.717122421994793e-08,-1.719068887240383e-09,30000
Péndulo,BM4,0.2,10000,10000,3.454186114915103e-08,3.717125145991171e-08,-2.9636860188198e-08,300000
Péndulo,BM4,0.1,10,10,2.085564831943998e-09,2.2443218814816e-09,-1.733563737005284e-09,600
Péndulo,BM4,0.1,100,100,2.087263362149372e-09,2.246149706945422e-09,-1.889550294009723e-09,6000
Péndulo,BM4,0.1,1000,1000,2.087708228515339e-09,2.246628437361367e-09,-1.069651034413255e-10,60000
Péndulo,BM4,0.1,10000,10000,2.087719441767888e-09,2.246640504187424e-09,-1.841553576298338e-09,600000
Péndulo,BM4,0.05,10,10,1.29310562257956e-10,1.391539212481372e-10,-1.074488276131547e-10,1200
Péndulo,BM4,0.05,100,100,1.293734008811498e-10,1.392215432634665e-10,-1.177616892888977e-10,12000
Péndulo,BM4,0.05,1000,1000,1.293836149329763e-10,1.392325348277956e-10,-6.617484338278246e-12,120000
Péndulo,BM4,0.05,10000,10000,1.294627738346321e-10,1.393177194513465e-10,-1.14970810649595e-10,1200000
Péndulo,RK4,0.4,10,10,0.0008729266447063955,0.0009393754342399101,-0.0008729266447063955,100
Péndulo,RK4,0.4,100,100,0.007299408865998558,0.007855053359607695,-0.007267676172556636,1000
Péndulo,RK4,0.4,1000,1000,0.07134836033835201,0.07677952939297415,-0.07129297537261181,10000
Péndulo,RK4,0.4,10000,10000,0.5561516088285472,0.5984868971690738,-0.5561516088285472,100000
Péndulo,RK4,0.2,10,10,3.061576161211832e-05,3.294628996992341e-05,-3.061576161211832e-05,200
Péndulo,RK4,0.2,100,100,0.0002399793065467337,0.0002582469748895716,-0.0002372260395311354,2000
Péndulo,RK4,0.2,1000,1000,0.002379551828683768,0.002560687711758433,-0.002374996203342694,20000
Péndulo,RK4,0.2,10000,10000,0.02356108354312436,0.02535459676789849,-0.02356103577135116,200000
Péndulo,RK4,0.1,10,10,1.117022025320935e-06,1.202051806362636e-06,-1.117022025320935e-06,400
Péndulo,RK4,0.1,100,100,7.725836722594082e-06,8.313941692769007e-06,-7.507130577955046e-06,4000
Péndulo,RK4,0.1,1000,1000,7.532413088640055e-05,8.105794294313851e-05,-7.505072716806893e-05,40000
Péndulo,RK4,0.1,10000,10000,0.000750088000283089,0.0008071860851733607,-0.0007500790180534622,400000
Péndulo,RK4,0.05,10,10,4.473296777440794e-08,4.813812395663319e-08,-4.456661262253192e-08,800
Péndulo,RK4,0.05,100,100,2.51692927943914e-07,2.708522587965591e-07,-2.36513393536697e-07,8000
Péndulo,RK4,0.05,1000,1000,2.369403238722256e-06,2.54976659237248e-06,-2.35196678022298e-06,80000
Péndulo,RK4,0.05,10000,10000,2.351568845893048e-05,2.530574612599681e-05,-2.349716648275546e-05,800000
