particle,q,rms_over_L,p95_over_L,max_over_L,first_half_rms,second_half_rms
1,51,0.04846078101384703,0.05977886098075948,0.06019548259548574,0.04846297569046961,0.048461865931196314
3,51,0.02066582206016834,0.02693712386249922,0.027888756669093868,0.020664089791318053,0.020662663859866114
1,52,0.044691554677232556,0.058423249302436406,0.059455944337202665,0.044695978709405684,0.044687926565271194
3,52,0.021761642745406602,0.027737214715023883,0.027968643123017,0.02176059994338146,0.021758389931615676
1,53,0.03408924223542771,0.048425138974976384,0.04990464687398818,0.034090414828653895,0.034086921576157635
3,53,0.01856234112939997,0.024016579143587156,0.02447958598499242,0.018560225405294395,0.018559692827333937
1,54,0.017752604394373487,0.028217375674727534,0.029844411839755156,0.017751039777869668,0.01775282333138682
3,54,0.011582081556168494,0.016075199059778746,0.016586411832497348,0.011579834610093192,0.011581669583614063
1,55,0.002166785275045281,0.003591024759474934,0.00385712536160934,0.002166305131307225,0.0021664570225579725
3,55,0.0022316661600618377,0.003412426944570432,0.0036869528090360103,0.0022320194962530404,0.0022329415842436405
1,56,0.02153503096110254,0.033472722732182644,0.03639199616581063,0.021529393800258145,0.02153889918327674
3,56,0.007937301601325704,0.011875124591256923,0.012583122710111564,0.007934934491636209,0.007935217192540533
1,57,0.036814199101079755,0.051481910189406156,0.052920450845740846,0.036805988290509815,0.03682220931952369
3,57,0.016129914363019214,0.02160648924418686,0.022444117513332577,0.016127348822837048,0.016127418881524472
1,58,0.046055441162597854,0.05943094843763246,0.06035008623434105,0.04605165524416274,0.04606147409511158
3,58,0.02097691885519417,0.02726211503642618,0.02824531149140436,0.020975662192971985,0.020974453138187295
1,59,0.048338678414589165,0.059624843668310265,0.06049992441242027,0.04834159229582623,0.04833794390880805
3,59,0.021646571709391316,0.027857219510324223,0.028276117720331447,0.021645742206941102,0.021643593875716845
1,60,0.04344989096806883,0.057399958392148,0.05848581201429555,0.04345453080335579,0.04344592606949816
3,60,0.01803387771719063,0.02353867733416705,0.02421868110064917,0.018031850296444385,0.01803126129867923
1,61,0.031847553478373196,0.04633239136857576,0.0474647632497663,0.03184927512765347,0.031845967974707824
3,61,0.01072195077886743,0.015188111930899218,0.015806357797101562,0.010719818828416671,0.010721171144442609
1,62,0.014784415768841092,0.02381222232597415,0.02413844564735078,0.014784487945706052,0.014786021879846276
3,62,0.0011671728599922215,0.001775299662717152,0.0019326876967427104,0.0011672441297133484,0.0011675466678876876
1,63,0.005413816306357974,0.00888401826899387,0.009323380682444477,0.005411925770104193,0.00541129608235454
3,63,0.008827479116093925,0.01303665956108003,0.013729640997568831,0.008825728070590778,0.008826985292593152
1,64,0.024286787708780858,0.03736559051513987,0.04017215343738994,0.02427966936926247,0.02428851673933853
3,64,0.01677316340751113,0.02234046151611165,0.023168975581227904,0.016771624376937407,0.016772680083773698
1,65,0.038704162019254654,0.05340038284890799,0.05460408029979851,0.03869580021364155,0.038710259144661696
3,65,0.021241802605416804,0.027474311410456708,0.028434113551440033,0.021241588353272053,0.021241313604948894
1,66,0.04688680251016772,0.059618590349628485,0.06086135570192516,0.04688416904677954,0.04689065682725561
3,66,0.02148778173920924,0.02778054142217993,0.028446897730101544,0.021487766375151048,0.021486459004169668
1,67,0.048035857380495706,0.05999142351380255,0.06052804105004949,0.048039878034287484,0.048034258446566155
3,67,0.01747275449412911,0.023049610230822578,0.023815781261963313,0.017471426366080522,0.017471401741304488
1,68,0.04204280748247784,0.05631474304939186,0.05720549419132807,0.042047796716376526,0.042040402363895564
3,68,0.009851099002911975,0.014227045953518312,0.014912983447488223,0.009849557638424381,0.009850880934782395
1,69,0.029475626542225405,0.043884882856687187,0.04514849376945813,0.029477741789819097,0.029476792115560545
3,69,8.769415613310168e-05,0.00013210012962374217,0.0001515769617454045,8.774386300043482e-05,8.763681930252356e-05
1,70,0.011754135016814778,0.01876035516118393,0.01914603996281759,0.011755178381746464,0.011758539666020902
3,70,0.009708944344312605,0.01406772912547929,0.014760406163043574,0.009707879168342913,0.0097098955866202
1,71,0.00858177817346146,0.013842108792071942,0.014344973425081143,0.008579303537947735,0.008577317962698274
3,71,0.017378363308214632,0.02296417993483038,0.0237386713189761,0.01737806348321342,0.01738013685461377
1,72,0.02691230706708872,0.04079272343499422,0.04290341066162004,0.026905145300206573,0.026912758820837913
3,72,0.021458730827488098,0.02775179182539125,0.02845909200651502,0.021459845993182472,0.021460753687282997
1,73,0.04043217755637192,0.05503620495568804,0.055757107017563964,0.040425090049634106,0.040437229951200956
3,73,0.021282158756870822,0.02750252003320168,0.02844907816299169,0.021283250028456477,0.021283195025308246
1,74,0.047542161741363866,0.05992824363252521,0.06075575750936064,0.04754170068523819,0.04754498861821267
3,74,0.01687646862979084,0.02244253027880094,0.023275121399794964,0.016876114398132504,0.01687714310970921
1,75,0.04755798662330771,0.05993289925867546,0.060743633273896744,0.04756367664723695,0.04755659471897716
3,75,0.008972579972601018,0.01321517149693385,0.01391133142048366,0.008971837247587164,0.008973674858678718
1,76,0.04047717290840318,0.05507297337911749,0.05579334944322476,0.04048251766090115,0.04047673844860385
3,76,0.0009927388419637062,0.0015093316280510487,0.001650142698337734,0.0009924111224002986,0.0009926559694660288
1,77,0.026979588387142903,0.04087138666021504,0.04297089640085524,0.02698142323804638,0.026983122189706436
3,77,0.010582167928557405,0.01504632457948254,0.015667861092556093,0.010581652006563434,0.010583912233754338
1,78,0.008661911275722094,0.013974982248710233,0.014479006233487097,0.008662997777124048,0.00866774711967116
3,78,0.01794723964360325,0.023462488007594588,0.024162289658608973,0.017948100109327583,0.017950656595749317
1,79,0.011675256429063738,0.018644563366093814,0.019012999253682866,0.011672516803040855,0.01167173250032954
3,79,0.021627842395001037,0.027861316377694536,0.02831170945163186,0.02163025415247015,0.021631858362180695
1,80,0.029411082726815908,0.043820543890275225,0.045083167805250096,0.02940415228055163,0.029413287813867952
3,80,0.021028068645904896,0.027298475321981604,0.028286864958216768,0.02103022902837708,0.021031156713881772
