particle,lag,correlation
1,25,0.3546171776616485
3,25,-0.7071463612936818
5,25,0.6769223430131017
7,25,0.3595499299609665
1,26,-0.40155738715917094
3,26,0.0971931662994124
5,26,-0.02936736544728409
7,26,0.8527027266382231
1,27,-0.8980278213639633
3,27,0.8415876145411182
5,27,-0.6815891000173719
7,27,0.9148288306233116
1,28,-0.8686310066134091
3,28,0.9274424599236507
5,28,-0.9390130865014329
7,28,0.5123016645003438
1,29,-0.3287828888778632
3,29,0.283555028487525
5,29,-0.6797058598137484
7,29,-0.11687784920318658
1,30,0.43031574599404965
3,30,-0.566035244905152
5,30,-0.0263362118851511
7,30,-0.6642096006644914
1,31,0.9517356625446193
3,31,-0.9728446553519438
5,31,0.6803197754669119
7,31,-0.8943885887005607
1,32,0.8644675284763029
3,32,-0.6421611424609661
5,32,0.9995976699784863
7,32,-0.7138936446416402
1,33,0.23575059344134017
3,33,0.18694487049467803
5,33,0.6791747743082651
7,33,-0.19822846742755512
1,34,-0.5066878105612624
3,34,0.8861533551651561
5,34,-0.0281234178249363
7,34,0.42847568955449666
1,35,-0.931645187876559
3,35,0.8897369899030225
5,35,-0.6815894207687017
7,35,0.8631426175039808
1,36,-0.8131708092763397
3,36,0.1948237588007866
5,36,-0.9402101177205009
7,36,0.8564082263299702
1,37,-0.21331830669204505
3,37,-0.6362354318020207
5,37,-0.6816258557784123
7,37,0.4234799424895205
1,38,0.5406042161734943
3,38,-0.9731421470594781
5,38,-0.028354225019547243
7,38,-0.19234560044111923
1,39,0.9838080916830052
3,39,-0.572335688698693
5,39,0.6789166141999489
7,39,-0.6937962366943288
1,40,0.7927729533065044
3,40,0.2758461996473084
5,40,0.9994059051826373
7,40,-0.8660956166954166
1,41,0.11372533005137658
3,41,0.9244562027193821
5,41,0.6802841875947969
7,41,-0.6394913612697357
1,42,-0.6039005566666219
3,42,0.8456788123187331
5,42,-0.026222116492002345
7,42,-0.10906608020752455
1,43,-0.951348425601476
3,43,0.10503682695405363
5,43,-0.6795934056649376
7,43,0.48927109440731503
1,44,-0.7450790295003431
3,44,-0.7017451548436189
5,44,-0.938788975691205
7,44,0.8581411017626762
1,45,-0.09331674378330206
3,45,-0.9666756620797686
5,45,-0.6813455748515644
7,45,0.7866775272180201
1,46,0.6433126134503983
3,46,-0.4985205883393831
5,46,-0.0293426877654255
7,46,0.3320552531290935
1,47,0.9989329573211121
3,47,0.3627035489465213
5,47,0.6768016048298184
7,47,-0.2617535070317259
1,48,0.7080230879613156
3,48,0.9558331838002727
5,48,0.9967958005281681
7,48,-0.7122647774088049
1,49,-0.009457902546250953
3,49,0.7956787161022014
5,49,0.6783788499287332
7,49,-0.8262342796362393
1,50,-0.6914895422180433
3,50,0.015295353802795826
5,50,-0.02687202445595739
7,50,-0.5578386960909719
1,51,-0.9564403751815949
3,51,-0.7615948512438439
5,51,-0.6789709642937516
7,51,-0.020868560581226058
1,52,-0.6650164944031962
3,52,-0.9532235205704399
5,52,-0.9371465464834464
7,52,0.5400606391705682
1,53,0.029341241339941645
3,53,-0.42141697097679426
5,53,-0.6793282708003768
7,53,0.8380553577257688
1,54,0.7360965183352856
3,54,0.44629479099535796
5,54,-0.027627882435929434
7,54,0.7080140263511451
1,55,0.9960640504000999
3,55,0.9794334471578449
5,55,0.6775387732667361
7,55,0.24041160559397923
1,56,0.611852715693085
3,56,0.7399065889153762
5,56,0.9961697214111491
7,56,-0.32367530348249507
1,57,-0.13152505352294866
3,57,-0.07346765718229593
5,57,0.6766787496941434
7,57,-0.719382849354489
1,58,-0.7678851864770457
3,58,-0.8148169148860572
5,58,-0.028967639774086847
7,58,-0.7759845404105777
1,59,-0.9466665305994951
3,59,-0.9324137020849991
5,59,-0.6807589574158828
7,59,-0.4709934211385889
1,60,-0.5741729398565975
