cycle,bm4_distance,reference_distance,cell_fraction,dx,dy,bm4_trajectory_error,reference_discrepancy,velocity_difference
29,0.042940448384149336,0.04294042188177994,0.00227806013364659,0.02771046071605987,0.032802594383507966,2.7058951193927755e-08,6.030324848715658e-08,0.006006248023749967
30,0.25650060542546704,0.25650059395763697,0.013607779144794541,0.07279362268157463,0.24595455514690734,1.9874787766444028e-08,8.84843133986151e-08,0.22679647955118282
31,0.3724652316633397,0.37246522469935694,0.01975989388025437,-0.10769787955955934,0.3565550593508906,2.4769942530086583e-08,1.0203597363859396e-07,0.7769691319980893
32,0.3940488431428323,0.3940488536479229,0.020904940959263426,-0.32239072854321726,0.22658048726802527,3.8532066032666036e-08,7.48534010963511e-08,0.8524744517350914
33,0.43048868477648744,0.4304886830695585,0.022838133951890566,-0.4043557544029266,-0.1477055521373618,2.7866754810275676e-08,1.1494921842530816e-07,0.42105555725695293
34,0.4572232780109446,0.45722330343721035,0.024256449612956896,-0.32921885491232317,-0.317282358123256,2.6213182911108574e-08,1.3736707156217427e-07,0.1918174297206929
35,0.28727339111027755,0.2872734393847604,0.015240329299038458,-0.18185461186154228,-0.22238464227692845,4.8504737176037443e-08,1.4562362979679358e-07,0.06506570913396471
36,0.008575758303209197,0.008575807684714018,0.0004549607280094396,-0.004620102027425688,-0.007224896864411079,4.950757611636204e-08,1.1202188825767372e-07,0.0023278386304437415
37,0.22732622143641068,0.2273261992146005,0.012060029433104353,0.07928779656228713,0.2130508065360317,3.352172236282612e-08,1.084674840741315e-07,0.15891003962870245
38,0.3522807095812501,0.35228069817769186,0.01868907149028973,-0.07018884424486949,0.34521763635731517,4.2498264641438204e-08,1.3142273263310803e-07,0.7005127836204783
39,0.4030713143086117,0.40307133106720966,0.021383598252668473,-0.29445091889123987,0.27525470802948426,5.8588048435827545e-08,1.4859760472242104e-07,0.883880067478696
40,0.4167796631117878,0.416779659003108,0.022110847636843116,-0.406809421292909,-0.09061665909795735,5.223730868532505e-08,6.447732152453332e-08,0.49236166839954215
41,0.4753986613133354,0.4753986968697459,0.025220684182100002,-0.35461645079895376,-0.3166245312798832,3.779896112409161e-08,1.429723562742576e-07,0.22204367416900705
42,0.34049689388358606,0.34049697399497675,0.01806392550638591,-0.21453262744520707,-0.2644124449816836,8.112388701863645e-08,2.2635212750552673e-07,0.08047630976922397
43,0.06866688207905483,0.06866696486214816,0.0036428956283111116,-0.03795967070836248,-0.05722076076995286,8.329135637055988e-08,2.059833365951659e-07,0.011497352035145372
44,0.1939284781178365,0.19392843698354684,0.010288223117343547,0.08572221563065874,0.17395384565525518,5.504129412090152e-08,1.425880591804065e-07,0.08847327125574565
45,0.3335605269955597,0.3335605094402152,0.017695934632561736,-0.024139946327711215,0.3326858524934764,6.984056117574597e-08,2.030297786576472e-07,0.5979805839111944
46,0.4126726228153794,0.41267263984631963,0.02189296350345103,-0.25745349506393644,0.32251574466542543,8.304296759670752e-08,2.3637202976969076e-07,0.9039325638592407
47,0.4049652347086342,0.404965225401871,0.021484072467686886,-0.4045180949883953,-0.01902484196380705,1.0002792610028195e-07,2.678874744670544e-07,0.5911570674709399
48,0.4954030578673414,0.4954030893607032,0.026281950164929235,-0.3841642604677151,-0.31279712582986186,4.334568518332578e-08,1.312466793484525e-07,0.25812189729314616
49,0.40869667247260083,0.4086967778455267,0.02168203747329179,-0.25380782038844707,-0.32033520963356743,1.0544033941340953e-07,3.151247351761038e-07,0.09921867502568762
50,0.1490143315884966,0.1490144624850998,0.007905462765565405,-0.07829783683229863,-0.12678627203725945,1.3097813147212282e-07,3.8708840589563336e-07,0.021586436164029516
