
[2026-09-20T15:52:40.409164+00:00] Cell 1: parameters

[2026-09-20T15:52:40.537338+00:00] Cell 2: 2
Worker 6: checkpoint 6000/100000 (6.0%), t=300
Worker 14: checkpoint 6000/100000 (6.0%), t=300
Worker 4: checkpoint 6000/100000 (6.0%), t=300
Worker 15: checkpoint 6000/100000 (6.0%), t=300
Worker 7: checkpoint 6000/100000 (6.0%), t=300
Worker 11: checkpoint 6000/100000 (6.0%), t=300
Worker 16: checkpoint 6000/100000 (6.0%), t=300
Worker 5: checkpoint 6000/100000 (6.0%), t=300
Worker 9: checkpoint 6000/100000 (6.0%), t=300
Worker 8: checkpoint 6000/100000 (6.0%), t=300
Worker 10: checkpoint 6000/100000 (6.0%), t=300
Worker 1: checkpoint 6500/100000 (6.5%), t=325
Worker 3: checkpoint 6500/100000 (6.5%), t=325
Worker 13: checkpoint 6500/100000 (6.5%), t=325
Worker 12: checkpoint 6500/100000 (6.5%), t=325
Worker 2: checkpoint 6500/100000 (6.5%), t=325
Worker 6: checkpoint 6500/100000 (6.5%), t=325
Worker 4: checkpoint 6500/100000 (6.5%), t=325
Worker 14: checkpoint 6500/100000 (6.5%), t=325
Worker 15: checkpoint 6500/100000 (6.5%), t=325
Worker 7: checkpoint 6500/100000 (6.5%), t=325
Worker 5: checkpoint 6500/100000 (6.5%), t=325
Worker 16: checkpoint 6500/100000 (6.5%), t=325
Worker 11: checkpoint 6500/100000 (6.5%), t=325
Worker 9: checkpoint 6500/100000 (6.5%), t=325
Worker 8: checkpoint 6500/100000 (6.5%), t=325
Worker 10: checkpoint 6500/100000 (6.5%), t=325
Worker 1: checkpoint 7000/100000 (7.0%), t=350
Worker 3: checkpoint 7000/100000 (7.0%), t=350
Worker 13: checkpoint 7000/100000 (7.0%), t=350
Worker 2: checkpoint 7000/100000 (7.0%), t=350
Worker 12: checkpoint 7000/100000 (7.0%), t=350
Worker 4: checkpoint 7000/100000 (7.0%), t=350
Worker 15: checkpoint 7000/100000 (7.0%), t=350
Worker 6: checkpoint 7000/100000 (7.0%), t=350
Worker 7: checkpoint 7000/100000 (7.0%), t=350
Worker 5: checkpoint 7000/100000 (7.0%), t=350
Worker 14: checkpoint 7000/100000 (7.0%), t=350
Worker 16: checkpoint 7000/100000 (7.0%), t=350
Worker 11: checkpoint 7000/100000 (7.0%), t=350
Worker 8: checkpoint 7000/100000 (7.0%), t=350
Worker 9: checkpoint 7000/100000 (7.0%), t=350
Worker 10: checkpoint 7000/100000 (7.0%), t=350
Worker 1: checkpoint 7500/100000 (7.5%), t=375
Worker 3: checkpoint 7500/100000 (7.5%), t=375
Worker 13: checkpoint 7500/100000 (7.5%), t=375
Worker 2: checkpoint 7500/100000 (7.5%), t=375
Worker 12: checkpoint 7500/100000 (7.5%), t=375
Worker 6: checkpoint 7500/100000 (7.5%), t=375
Worker 15: checkpoint 7500/100000 (7.5%), t=375
Worker 4: checkpoint 7500/100000 (7.5%), t=375
Worker 7: checkpoint 7500/100000 (7.5%), t=375
Worker 5: checkpoint 7500/100000 (7.5%), t=375
Worker 14: checkpoint 7500/100000 (7.5%), t=375
Worker 16: checkpoint 7500/100000 (7.5%), t=375
Worker 11: checkpoint 7500/100000 (7.5%), t=375
Worker 8: checkpoint 7500/100000 (7.5%), t=375
Worker 9: checkpoint 7500/100000 (7.5%), t=375
Worker 10: checkpoint 7500/100000 (7.5%), t=375
Worker 1: checkpoint 8000/100000 (8.0%), t=400
Worker 3: checkpoint 8000/100000 (8.0%), t=400
Worker 13: checkpoint 8000/100000 (8.0%), t=400
Worker 2: checkpoint 8000/100000 (8.0%), t=400
Worker 12: checkpoint 8000/100000 (8.0%), t=400
Worker 6: checkpoint 8000/100000 (8.0%), t=400
Worker 15: checkpoint 8000/100000 (8.0%), t=400
Worker 4: checkpoint 8000/100000 (8.0%), t=400
Worker 7: checkpoint 8000/100000 (8.0%), t=400
Worker 5: checkpoint 8000/100000 (8.0%), t=400
Worker 14: checkpoint 8000/100000 (8.0%), t=400
Worker 9: checkpoint 8000/100000 (8.0%), t=400
Worker 11: checkpoint 8000/100000 (8.0%), t=400
Worker 8: checkpoint 8000/100000 (8.0%), t=400
Worker 16: checkpoint 8000/100000 (8.0%), t=400
Worker 10: checkpoint 8000/100000 (8.0%), t=400
Worker 1: checkpoint 8500/100000 (8.5%), t=425
Worker 3: checkpoint 8500/100000 (8.5%), t=425
Worker 13: checkpoint 8500/100000 (8.5%), t=425
Worker 2: checkpoint 8500/100000 (8.5%), t=425
Worker 12: checkpoint 8500/100000 (8.5%), t=425
Worker 6: checkpoint 8500/100000 (8.5%), t=425
Worker 15: checkpoint 8500/100000 (8.5%), t=425
Worker 4: checkpoint 8500/100000 (8.5%), t=425
Worker 7: checkpoint 8500/100000 (8.5%), t=425
Worker 14: checkpoint 8500/100000 (8.5%), t=425
Worker 5: checkpoint 8500/100000 (8.5%), t=425
Worker 9: checkpoint 8500/100000 (8.5%), t=425
Worker 8: checkpoint 8500/100000 (8.5%), t=425
Worker 11: checkpoint 8500/100000 (8.5%), t=425
Worker 16: checkpoint 8500/100000 (8.5%), t=425
Worker 10: checkpoint 8500/100000 (8.5%), t=425
Worker 1: checkpoint 9000/100000 (9.0%), t=450
Worker 3: checkpoint 9000/100000 (9.0%), t=450
Worker 13: checkpoint 9000/100000 (9.0%), t=450
Worker 2: checkpoint 9000/100000 (9.0%), t=450
Worker 12: checkpoint 9000/100000 (9.0%), t=450
Worker 6: checkpoint 9000/100000 (9.0%), t=450
Worker 15: checkpoint 9000/100000 (9.0%), t=450
Worker 7: checkpoint 9000/100000 (9.0%), t=450
Worker 4: checkpoint 9000/100000 (9.0%), t=450
Worker 14: checkpoint 9000/100000 (9.0%), t=450
Worker 5: checkpoint 9000/100000 (9.0%), t=450
Worker 9: checkpoint 9000/100000 (9.0%), t=450
Worker 8: checkpoint 9000/100000 (9.0%), t=450
Worker 11: checkpoint 9000/100000 (9.0%), t=450
Worker 16: checkpoint 9000/100000 (9.0%), t=450
Worker 10: checkpoint 9000/100000 (9.0%), t=450
