
[2026-09-20T17:06:28.083226+00:00] Cell 1: parameters

[2026-09-20T17:06:28.301317+00:00] Cell 2: 2
Worker 4: checkpoint 20000/100000 (20.0%)
Worker 3: checkpoint 17500/100000 (17.5%)
Worker 3: checkpoint 17500/100000 (17.5%)
Worker 1: checkpoint 13000/100000 (13.0%)
Worker 4: checkpoint 20500/100000 (20.5%)
Worker 1: checkpoint 13000/100000 (13.0%)
Worker 4: checkpoint 20500/100000 (20.5%)
Worker 1: checkpoint 13500/100000 (13.5%)
Worker 4: checkpoint 21000/100000 (21.0%)
Worker 1: checkpoint 13500/100000 (13.5%)
Worker 4: checkpoint 21000/100000 (21.0%)
Worker 1: checkpoint 14000/100000 (14.0%)
Worker 4: checkpoint 21500/100000 (21.5%)
Worker 1: checkpoint 14000/100000 (14.0%)
Worker 4: checkpoint 21500/100000 (21.5%)
Worker 2: checkpoint 17000/100000 (17.0%)
Worker 2: checkpoint 17000/100000 (17.0%)
Worker 1: checkpoint 14500/100000 (14.5%)
Worker 1: checkpoint 14500/100000 (14.5%)
Worker 4: checkpoint 22000/100000 (22.0%)
Worker 3: checkpoint 18000/100000 (18.0%)
Worker 4: checkpoint 22000/100000 (22.0%)
Worker 3: checkpoint 18000/100000 (18.0%)
Worker 2: checkpoint 17500/100000 (17.5%)
Worker 1: checkpoint 15000/100000 (15.0%)
Worker 2: checkpoint 17500/100000 (17.5%)
Worker 1: checkpoint 15000/100000 (15.0%)
Worker 2: checkpoint 18000/100000 (18.0%)
Worker 1: checkpoint 15500/100000 (15.5%)
Worker 2: checkpoint 18000/100000 (18.0%)
Worker 1: checkpoint 15500/100000 (15.5%)
Worker 1: checkpoint 16000/100000 (16.0%)
Worker 2: checkpoint 18500/100000 (18.5%)
Worker 1: checkpoint 16000/100000 (16.0%)
Worker 2: checkpoint 18500/100000 (18.5%)
Worker 4: checkpoint 22500/100000 (22.5%)
Worker 3: checkpoint 18500/100000 (18.5%)
Worker 4: checkpoint 22500/100000 (22.5%)
Worker 3: checkpoint 18500/100000 (18.5%)
Worker 1: checkpoint 16500/100000 (16.5%)
Worker 2: checkpoint 19000/100000 (19.0%)
Worker 1: checkpoint 16500/100000 (16.5%)
Worker 2: checkpoint 19000/100000 (19.0%)
Worker 1: checkpoint 17000/100000 (17.0%)
Worker 2: checkpoint 19500/100000 (19.5%)
Worker 1: checkpoint 17000/100000 (17.0%)
Worker 2: checkpoint 19500/100000 (19.5%)
Worker 1: checkpoint 17500/100000 (17.5%)
Worker 2: checkpoint 20000/100000 (20.0%)
Worker 1: checkpoint 17500/100000 (17.5%)
Worker 2: checkpoint 20000/100000 (20.0%)
Worker 3: checkpoint 19000/100000 (19.0%)
Worker 3: checkpoint 19000/100000 (19.0%)
Worker 4: checkpoint 23000/100000 (23.0%)
Worker 4: checkpoint 23000/100000 (23.0%)
Worker 3: checkpoint 19500/100000 (19.5%)
Worker 3: checkpoint 19500/100000 (19.5%)
Worker 4: checkpoint 23500/100000 (23.5%)
Worker 4: checkpoint 23500/100000 (23.5%)
Worker 3: checkpoint 20000/100000 (20.0%)
Worker 3: checkpoint 20000/100000 (20.0%)
Worker 4: checkpoint 24000/100000 (24.0%)
Worker 4: checkpoint 24000/100000 (24.0%)
Worker 2: checkpoint 20500/100000 (20.5%)
Worker 2: checkpoint 20500/100000 (20.5%)
Worker 1: checkpoint 18000/100000 (18.0%)
Worker 4: checkpoint 24500/100000 (24.5%)
Worker 1: checkpoint 18000/100000 (18.0%)
Worker 4: checkpoint 24500/100000 (24.5%)
Worker 2: checkpoint 21000/100000 (21.0%)
Worker 2: checkpoint 21000/100000 (21.0%)
Worker 4: checkpoint 25000/100000 (25.0%)
Worker 4: checkpoint 25000/100000 (25.0%)
Worker 3: checkpoint 20500/100000 (20.5%)
Worker 3: checkpoint 20500/100000 (20.5%)
Worker 2: checkpoint 21500/100000 (21.5%)
Worker 2: checkpoint 21500/100000 (21.5%)
Worker 1: checkpoint 18500/100000 (18.5%)
Worker 1: checkpoint 18500/100000 (18.5%)
Worker 2: checkpoint 22000/100000 (22.0%)
Worker 2: checkpoint 22000/100000 (22.0%)
Worker 1: checkpoint 19000/100000 (19.0%)
Worker 1: checkpoint 19000/100000 (19.0%)
Worker 3: checkpoint 21000/100000 (21.0%)
Worker 3: checkpoint 21000/100000 (21.0%)
Worker 1: checkpoint 19500/100000 (19.5%)
Worker 1: checkpoint 19500/100000 (19.5%)
Worker 3: checkpoint 21500/100000 (21.5%)
Worker 3: checkpoint 21500/100000 (21.5%)
Worker 4: checkpoint 25500/100000 (25.5%)
Worker 4: checkpoint 25500/100000 (25.5%)
Worker 1: checkpoint 20000/100000 (20.0%)
Worker 1: checkpoint 20000/100000 (20.0%)
Worker 2: checkpoint 22500/100000 (22.5%)
Worker 2: checkpoint 22500/100000 (22.5%)
Worker 3: checkpoint 22000/100000 (22.0%)
Worker 3: checkpoint 22000/100000 (22.0%)
Worker 2: checkpoint 23000/100000 (23.0%)
Worker 2: checkpoint 23000/100000 (23.0%)
Worker 1: checkpoint 20500/100000 (20.5%)
Worker 1: checkpoint 20500/100000 (20.5%)
Worker 2: checkpoint 23500/100000 (23.5%)
Worker 2: checkpoint 23500/100000 (23.5%)
Worker 3: checkpoint 22500/100000 (22.5%)
Worker 1: checkpoint 21000/100000 (21.0%)
Worker 3: checkpoint 22500/100000 (22.5%)
Worker 1: checkpoint 21000/100000 (21.0%)
Worker 2: checkpoint 24000/100000 (24.0%)
Worker 4: checkpoint 26000/100000 (26.0%)
Worker 2: checkpoint 24000/100000 (24.0%)
Worker 4: checkpoint 26000/100000 (26.0%)
Worker 1: checkpoint 21500/100000 (21.5%)
Worker 1: checkpoint 21500/100000 (21.5%)
Worker 2: checkpoint 24500/100000 (24.5%)
Worker 2: checkpoint 24500/100000 (24.5%)
Worker 4: checkpoint 26500/100000 (26.5%)
Worker 4: checkpoint 26500/100000 (26.5%)
Worker 2: checkpoint 25000/100000 (25.0%)
Worker 2: checkpoint 25000/100000 (25.0%)
Worker 4: checkpoint 27000/100000 (27.0%)
Worker 4: checkpoint 27000/100000 (27.0%)
Worker 3: checkpoint 23000/100000 (23.0%)
Worker 3: checkpoint 23000/100000 (23.0%)
Worker 4: checkpoint 27500/100000 (27.5%)
Worker 4: checkpoint 27500/100000 (27.5%)
Worker 3: checkpoint 23500/100000 (23.5%)
Worker 3: checkpoint 23500/100000 (23.5%)
Worker 1: checkpoint 22000/100000 (22.0%)
Worker 1: checkpoint 22000/100000 (22.0%)
Worker 4: checkpoint 28000/100000 (28.0%)
Worker 3: checkpoint 24000/100000 (24.0%)
Worker 4: checkpoint 28000/100000 (28.0%)
Worker 3: checkpoint 24000/100000 (24.0%)
Worker 2: checkpoint 25500/100000 (25.5%)
Worker 2: checkpoint 25500/100000 (25.5%)
Worker 4: checkpoint 28500/100000 (28.5%)
Worker 3: checkpoint 24500/100000 (24.5%)
Worker 4: checkpoint 28500/100000 (28.5%)
Worker 3: checkpoint 24500/100000 (24.5%)
Worker 2: checkpoint 26000/100000 (26.0%)
Worker 2: checkpoint 26000/100000 (26.0%)
Worker 3: checkpoint 25000/100000 (25.0%)
Worker 3: checkpoint 25000/100000 (25.0%)
Worker 2: checkpoint 26500/100000 (26.5%)
Worker 2: checkpoint 26500/100000 (26.5%)
Worker 3: checkpoint 25500/100000 (25.5%)
Worker 1: checkpoint 22500/100000 (22.5%)
